"Id";"SteamId";"Kits";"Points";"TotalSpent"
75;76561198128371506;"{}";814;0
76;76561198382842631;"{}";3105;0
77;76561198220990608;"{}";750;0
78;76561198203965863;"{}";1530;0
79;76561198371088207;"{}";4475;0
80;76561198354624935;"{}";945;0
81;76561197983088850;"{}";4700;0
82;76561198067899268;"{}";15;0
83;76561197968534746;"{}";3225;0
84;76561198070142105;"{}";8280;0
85;76561198054965584;"{}";1395;0
86;76561198016848067;"{}";255;0
87;76561197979186033;"{}";1395;0
88;76561198064802548;"{}";2430;0
89;76561197996051482;"{}";1485;0
90;76561198015780261;"{}";4805;0
91;76561198084685333;"{}";435;0
92;76561198041212398;"{}";1050;0
93;76561198144553040;"{}";435;0
94;76561198046898746;"{}";1395;0
95;76561198005632056;"{}";4770;0
96;76561198101300845;"{}";165;0
97;76561198024907271;"{}";8220;0
98;76561198203826916;"{}";2430;0
99;76561198162061393;"{}";4060;0
100;76561197986873205;"{}";8295;0
101;76561198006599120;"{}";1365;0
102;76561198078168762;"{}";1575;0
103;76561198017781577;"{}";6495;0
104;76561198068801879;"{}";10060;0
105;76561198279134529;"{}";315;0
106;76561198030431358;"{}";15;0
107;76561198042553046;"{}";1215;0
108;76561198276827752;"{}";2905;0
109;76561197996256116;"{}";390;0
110;76561198157758735;"{}";2929;0
111;76561198174200478;"{}";1215;0
112;76561198152998889;"{}";3725;0
113;76561198225061704;"{}";360;0
114;76561198078898554;"{}";1905;0
115;76561198157841167;"{}";755;0
116;76561198167345257;"{}";660;0
117;76561198124061660;"{}";0;0
118;76561198068144321;"{}";3165;0
119;76561198070419520;"{}";490;0
120;76561198159179592;"{}";720;0
121;76561198049242507;"{}";3688;0
122;76561198007097252;"{}";510;0
123;76561197983446183;"{}";165;0
124;76561198078041564;"{}";4310;0
125;76561198145874525;"{}";120;0
126;76561198065483629;"{}";600;0
127;76561198149447919;"{}";840;0
128;76561198143752263;"{}";0;0
129;76561198239663110;"{}";6795;0
130;76561198092141856;"{}";4785;0
131;76561198308334358;"{""Start"":{""Amount"":1},""Start2"":{""Amount"":1},""Startflyer"":{""Amount"":1}}";590;0
132;76561198169395191;"{}";2320;0
133;76561198250092502;"{}";735;0
134;76561198237491882;"{}";75;0
135;76561198402622120;"{}";60;0
136;76561198205750887;"{}";5980;0
137;76561198294140975;"{}";2810;0
138;76561198395783905;"{}";3735;0
